name,damage reduction,stability (max),durability,weight,stats needed/bonuses,availability,special notes
Large Leather Shield,91/35/60/60,52 (65),200,1.5,7/0/0/0 D/-/-/-,Starting shield for the Hunter class Sold by Andre of Astora Phalanx drop,-
Sanctus,95/40/70/50,51 (63),410,3,10/0/0/18 D/-/-/-,Paladin Leeroy drop,Regenerates 2 HP per 2 seconds
Silver Knight Shield,100/40/75/65,64 (76),250,5.0,14/0/0/0 D/-/-/-,Silver Knight drop,-
Spider Shield,100/30/72/48,56 (70),230,3.0,10/0/0/0 D/-/-/-,Starting shield for the Bandit class Depths treasure Valley of Drakes treasure,Blocks poison and toxic attacks
Sunlight Shield,100/30/75/50,57 (71),280,4.0,12/0/0/0 D/-/-/-,Solaire of Astora drop,-
Tower Kite Shield,100/30/70/50,58 (72),250,3.0,10/0/0/0 D/-/-/-,Starting shield for the Knight class Sold by Andre of Astora,"Shape and stat-wise, identical to the Caduceus Kite Shield"
Wooden Shield,93/40/30/65,52 (65),160,1.5,7/0/0/0 D/-/-/-,Undead Burg treasure,-
Black Iron Greatshield,100/40/90/50,71 (85),230,16.0,34/0/0/0 D/-/-/-,Anor Londo treasure,-
Bonewheel Shield,90/30/30/51,66 (66),200,12.0,30/0/0/0 D/-/-/-,Skeleton Wheel drop,-
Cleansing Greatshield,80/80/80/70,77 (77),300,14.5,31/0/0/0 D/-/-/-,Sif leaves this behind when you free them in the Chasm of the Abyss,-
Eagle Shield,95/55/45/75,70 (84),300,6.0,16/0/0/0 D/-/-/-,Blighttown treasure,-
Giant Shield,100/60/75/75,68 (81),300,18.0,36/0/0/0 D/-/-/-,Sold by Giant Blacksmith Sentinel drop,-
Greatshield of Artorias,100/50/80/40,88 (88),600,16.0,34/0/0/0 D/-/-/-,Created from Soul of Sif,-
Havel's Greatshield,100/90/80/80,84 (84),500,26.0,50/0/0/0 D/-/-/-,Chest in Anor Londo,LT/L2 or RT/R2 is replaced by a Poise-boosting buff that lasts 40 seconds Consumes 300 durability points
Stone Greatshield,100/80/75/65,80 (80),400,20.0,38/0/0/0 D/-/-/-,Giant Stone Knight drop,-
Tower Shield,100/40/75/50,72 (86),300,13.0,30/0/0/0 D/-/-/-,Sold by Crestfallen Merchant Heavy knight drop,-
Crystal Ring Shield,70/90/70/40,40,120,3,10/0/0/0 -/-/-/-,Created from the Soul of the Moonlight Butterfly and a +10 small shield,"Strong left-hand attack deals magic damage based on right-hand weapon's attack power Since patch 1.05, damage is no longer based on right hand weapon"
Crystal Shield,100/60/80/80,60,250,5.0,14/0/0/0 D/-/-/-,Sold by Domhnall of Zena,"Cannot be upgraded or repaired, eventually breaks Parry replaced by shield bash"
Spiked Shield,90/28/69/40,48,160,3,10/12/0/0 D/C/-/-,Kirk Knight of Thorns drop,Parry replaced by shield bash that builds up Bleed
Pierce Shield,95/30/70/34,49,180,3.5,11/14/0/0 D/C/-/-,Siegmeyer of Catarina gift,Parry replaced by shield bash with thrust/piercing attack property
